Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,44983,confirmed,2020-07-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,45140,confirmed,2020-07-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,45298,confirmed,2020-07-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,45423,confirmed,2020-07-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,45614,confirmed,2020-07-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,45783,confirmed,2020-07-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,45961,confirmed,2020-07-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,46283,confirmed,2020-07-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,46630,confirmed,2020-07-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,46878,confirmed,2020-07-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,47126,confirmed,2020-07-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,47453,confirmed,2020-07-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,47655,confirmed,2020-07-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,47912,confirmed,2020-07-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,48035,confirmed,2020-07-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,48434,confirmed,2020-07-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,48744,confirmed,2020-07-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,49098,confirmed,2020-07-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,49375,confirmed,2020-07-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,49888,confirmed,2020-07-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,50369,confirmed,2020-07-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,50838,confirmed,2020-07-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,51197,confirmed,2020-07-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,51531,confirmed,2020-07-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,51809,confirmed,2020-07-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,52205,confirmed,2020-07-31T00:00:00Z
Singapore,SG,,,,1.35,103.82,52512,confirmed,2020-08-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,52825,confirmed,2020-08-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,53051,confirmed,2020-08-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,53346,confirmed,2020-08-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,54254,confirmed,2020-08-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,54555,confirmed,2020-08-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,54797,confirmed,2020-08-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,54929,confirmed,2020-08-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,55104,confirmed,2020-08-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,55292,confirmed,2020-08-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,55353,confirmed,2020-08-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,55395,confirmed,2020-08-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,55497,confirmed,2020-08-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,55580,confirmed,2020-08-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,55661,confirmed,2020-08-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,55747,confirmed,2020-08-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,55838,confirmed,2020-08-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,55938,confirmed,2020-08-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,56031,confirmed,2020-08-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,56099,confirmed,2020-08-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,56216,confirmed,2020-08-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,56266,confirmed,2020-08-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,56353,confirmed,2020-08-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,56404,confirmed,2020-08-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,56435,confirmed,2020-08-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,56495,confirmed,2020-08-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,56572,confirmed,2020-08-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,56666,confirmed,2020-08-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,56717,confirmed,2020-08-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,56771,confirmed,2020-08-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,56812,confirmed,2020-08-31T00:00:00Z
Singapore,SG,,,,1.35,103.82,56852,confirmed,2020-09-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,56860,confirmed,2020-09-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,56908,confirmed,2020-09-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,56948,confirmed,2020-09-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,56982,confirmed,2020-09-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,57022,confirmed,2020-09-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,57044,confirmed,2020-09-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,57091,confirmed,2020-09-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,57166,confirmed,2020-09-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,57229,confirmed,2020-09-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,57315,confirmed,2020-09-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,57357,confirmed,2020-09-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,57406,confirmed,2020-09-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,57454,confirmed,2020-09-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,57488,confirmed,2020-09-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,57514,confirmed,2020-09-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,57532,confirmed,2020-09-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,57543,confirmed,2020-09-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,57558,confirmed,2020-09-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,57576,confirmed,2020-09-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,57606,confirmed,2020-09-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,57627,confirmed,2020-09-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,57639,confirmed,2020-09-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,57654,confirmed,2020-09-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,57665,confirmed,2020-09-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,57685,confirmed,2020-09-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,57700,confirmed,2020-09-27T00:00:00Z
